Wall time,Step,Value
1770050122.26376,189,0.003706349991261959
1770050157.6060545,479,0.003595955204218626
1770050175.8401144,629,0.0031318850815296173
1770050176.931339,639,0.002996945520862937
1770050208.209941,899,0.003121159505099058
1770050224.7969265,1039,0.003723373170942068
1770050229.542279,1079,0.0025111620780080557
1770050254.729361,1289,0.002849156502634287
1770050297.7971072,1649,0.0017635745462030172
1770050307.4793415,1729,0.001959261717274785
1770050344.8228056,1919,0.0017233177786692977
1770050358.009201,2039,0.0031409235671162605
1770050406.5598543,2449,0.0012066129129379988
1770050424.0944307,2599,0.001659382600337267
1770050450.9670699,2829,0.001763839041814208
1770050493.823208,3199,0.0014343704096972942
1770050564.1390634,3669,0.005167039576917887
1770050586.1925294,3869,0.002643008017912507
1770050603.525527,4029,0.0012844572775065899
1770050618.0626132,4159,0.0017148086335510015
1770050642.579101,4379,0.0013024413492530584
1770050673.601233,4659,0.0017467123689129949
1770050684.8954628,4759,0.00512799434363842
1770050691.5715954,4819,0.002528324257582426
1770050724.7412844,5109,0.001232733717188239
1770050750.8462157,5339,0.0013074508169665933
1770050771.8365211,5389,0.0008416210766881704
1770050774.141004,5409,0.0014518647221848369
1770050792.1658921,5569,0.0012778136879205704
1770050798.706382,5629,0.001008129445835948
1770050838.4574738,5969,0.0009163874201476574
1770050886.5695424,6379,0.0007541863014921546
1770050893.5124524,6439,0.0010743041057139635
1770050894.6672628,6449,0.0009868134511634707
1770050910.9093106,6589,0.0009685615077614784
1770050930.1728318,6759,0.0018055746331810951
1770051044.4883587,7649,0.0012646045070141554
1770051056.8303423,7759,0.0009145092917606235
1770051089.6711726,8049,0.0008927201852202415
1770051153.631896,8579,0.0009263982065021992
1770051164.6726487,8669,0.0010005875956267118
1770051188.9556334,8869,0.002472875639796257
1770051270.7156894,9429,0.001526983454823494
1770051338.6916566,9999,0.0008679161546751857
1770051358.261674,10159,0.0017216458218172193
1770051371.5738897,10269,0.0010227279271930456
1770051384.2105396,10379,0.0010994451586157084
1770051407.4780433,10569,0.0007609698222950101
1770051443.201771,10719,0.00453253323212266
1770051491.6477606,11119,0.0008991253562271595
1770051508.333459,11259,0.0011112579377368093
1770051516.5985322,11329,0.0008409415604546666
1770051540.3340378,11529,0.0009788888273760676
1770051555.2372587,11649,0.00083542475476861
1770051567.9484353,11749,0.0012852156069129705
1770051570.518405,11769,0.0009316980140283704
1770051580.4713871,11849,0.0007961432565934956
1770051625.6502492,12189,0.0015689926221966743
1770051687.504773,12529,0.0009666115511208773
1770051689.9381049,12549,0.0020128374453634024
1770051694.1555636,12579,0.000865369860548526
1770051707.1337504,12679,0.0009093385306186974
1770051712.0950491,12719,0.0010438536992296576
1770051779.7345438,13259,0.0009630146669223905
1770051805.1456153,13459,0.0009336756775155663
1770051848.5037332,13769,0.000735184527002275
1770051904.8894765,14179,0.0010299842106178403
1770051974.96893,14579,0.0007425451185554266
1770051976.3514283,14589,0.0017973127542063594
1770052022.5789814,14949,0.004426699597388506
1770052042.1671722,15109,0.0005551779759116471
1770052045.7513466,15139,0.0009925725171342492
1770052088.1908088,15489,0.0013442556373775005
1770052091.7603292,15519,0.0021245060488581657
1770052108.106809,15659,0.0007643424905836582
1770052132.0889869,15859,0.000749595754314214
1770052145.278639,15969,0.001192504190839827
1770052197.3108926,16279,0.0006374957738444209
1770052206.8266752,16359,0.0009691694285720587
1770052248.6864622,16709,0.004205395933240652
1770052266.7432363,16859,0.0006147638196125627
1770052286.5824823,17029,0.0005713327554985881
1770052289.052349,17049,0.0016309343045577407
1770052297.4742248,17119,0.001348739373497665
1770052378.521439,17779,0.0009802068816497922
1770052475.3035233,18479,0.0006643572123721242
1770052490.855845,18609,0.0006823575822636485
1770052537.1525874,18999,0.0008287173695862293
1770052549.1736245,19099,0.0004971600137650967
1770052585.7506552,19409,0.0011180018773302436
1770052609.5189068,19609,0.0010761066805571318
1770052626.8467667,19619,0.0005977645632810891
1770052646.6704562,19799,0.0005832110182382166
1770052759.5481684,20709,0.0006592200952582061
1770052771.1106055,20799,0.0016928110271692276
1770052784.0092902,20899,0.0007761451415717602
1770052797.5771894,21009,0.0006796358502469957
1770052949.5598018,22099,0.0006571855046786368
1770052985.4329948,22399,0.00070334313204512
1770053101.206369,23199,0.00046113348798826337
1770053150.9141622,23599,0.0008107544854283333
1770053192.8936758,23949,0.0009161385241895914
1770053241.4438877,24369,0.0005861467216163874
1770053247.0197623,24419,0.0006062333122827113
1770053263.6930945,24549,0.0007254220545291901
1770053273.217392,24629,0.0009297860669903457
1770053276.655465,24659,0.0006408242043107748
1770053301.7133338,24859,0.0007331158849410713
1770053339.3370495,25039,0.0006361648556776345
1770053355.2362788,25179,0.0009267277200706303
1770053370.1414242,25309,0.001438273349776864
1770053423.9549534,25779,0.0005196741549298167
1770053425.0336487,25789,0.0006399041740223765
1770053449.0625725,25999,0.0005985466414131224
1770053480.838529,26279,0.0005474421195685863
1770053490.0526671,26359,0.0007323968457058072
1770053498.9827096,26439,0.001087107928469777
1770053560.9491231,26849,0.0006602301727980375
1770053570.7206292,26939,0.0008557105902582407
1770053587.6608195,27089,0.0007611169712617993
1770053597.9953058,27179,0.0007168368902057409
1770053617.292534,27349,0.0009136726148426533
1770053624.0268707,27409,0.004618972074240446
1770053639.0732148,27539,0.0008975190576165915
1770053640.2568,27549,0.001313281711190939
1770053641.3695464,27559,0.004050419200211763
1770053656.058985,27689,0.0005922057898715138
1770053675.827805,27859,0.0005608395440503955
1770053706.2767487,28129,0.0012504856567829847
1770053731.4080358,28349,0.0006654058815911412
1770053743.1681397,28449,0.0005026035942137241
1770053778.4945178,28619,0.0004513685416895896
1770053879.0131857,29529,0.0011809243587777019
1770053890.698076,29629,0.0016486566746607423
1770053902.9718895,29739,0.005659438669681549
1770053988.6713812,30349,0.0018769410671666265
1770054042.3818445,30839,0.0006972486153244972
1770054043.4957209,30849,0.0009318718803115189
1770054066.0140054,31049,0.0007701852591708302
1770054067.1639352,31059,0.0006842224393039942
1770054084.709225,31209,0.0007454394362866879
1770054113.20907,31459,0.00044047689880244434
1770054168.8996513,31929,0.0007928057457320392
1770054177.0079927,31999,0.0007349681109189987
1770054213.072254,32179,0.00046900956658646464
1770054216.3415334,32209,0.000569980766158551
1770054239.2140548,32419,0.0009902107995003462
1770054267.344909,32659,0.0007767676725052297
1770054270.6612961,32689,0.0006765762227587402
1770054314.4448445,33069,0.0005470404867082834
1770054371.781041,33569,0.0006419297424145043
1770054439.7166328,34049,0.0006936344434507191
1770054501.7986538,34619,0.0006939731538295746
1770054526.0505264,34839,0.0007530542206950486
1770054535.3575704,34919,0.0007927536498755217
1770054545.8593078,35009,0.0007389865349978209
1770054575.9823232,35269,0.000921538332477212
1770054637.8310094,35669,0.0015593408606946468
1770054641.098906,35699,0.001410363707691431
1770054674.802408,36009,0.0007508911658078432
1770054692.2148921,36169,0.0008025952847674489
1770054734.2809162,36549,0.0015941340243443847
1770054737.6119907,36579,0.0005649341037496924
1770054742.3123834,36619,0.000785183859989047
1770054750.0305123,36689,0.004031841177493334
1770054753.6793551,36719,0.0005925584118813276
1770054776.4544985,36909,0.0006346028530970216
1770054802.9425364,37129,0.0010214780922979116
1770054876.9585016,37619,0.0005564541788771749
1770054901.7435212,37829,0.000668856839183718
1770054978.8386073,38489,0.0014184333849698305
1770054981.097785,38509,0.000567115843296051
1770055043.3108625,39029,0.0010857919696718454
1770055054.121973,39119,0.0005465197027660906
1770055059.1067498,39159,0.0006489188526757061
1770055066.053203,39219,0.0004657726676668972
1770055098.8676305,39339,0.0010127658024430275
1770055102.3472695,39369,0.000986826024018228
1770055147.83449,39759,0.0010037054307758808
1770055191.063817,40129,0.0006200885400176048
1770055193.43917,40149,0.0005301834316924214
1770055203.8892927,40239,0.0011298637837171555
1770055216.8540308,40349,0.0010719860438257456
1770055223.8303823,40409,0.00045931103522889316
1770055232.231904,40479,0.0009579070028848946
1770055278.2010157,40849,0.0004810714162886143
1770055324.4343495,41099,0.0006763655692338943
1770055331.285589,41159,0.0007730149081908166
1770055338.2962162,41219,0.0007381337927654386
1770055341.8503182,41249,0.000572949880734086
1770055370.0371377,41469,0.00040699541568756104
1770055415.872996,41819,0.0008389436989091337
1770055430.4425344,41929,0.0017047120491042733
1770055473.1629198,42279,0.000554826867301017
1770055508.779326,42579,0.00047294871183112264
1770055592.3251874,43189,0.0006380282575264573
1770055603.177927,43289,0.000921874598134309
1770055734.0698981,44439,0.0006674808682873845
1770055746.8806887,44549,0.0005789970746263862
1770055851.9625194,45359,0.000741095282137394
1770055856.3180654,45399,0.0004393907729536295
1770055885.3531063,45649,0.0007241317653097212
1770055940.7985873,46129,0.0003576843882910907
1770055998.5281272,46499,0.0005020342068746686
1770056043.0397222,46909,0.0005289999535307288
1770056045.213388,46929,0.0006653539603576064
1770056051.7302601,46989,0.0006411278736777604
1770056061.6780567,47079,0.0007015339797362685
1770056087.2121706,47309,0.0004716240509878844
1770056141.3230817,47779,0.000670776644255966
