Wall time,Step,Value
1769778274.9682288,189,286840.3125
1769778308.5264652,479,304149.6875
1769778326.5469484,629,259299.875
1769778327.7096136,639,270382.3125
1769778357.7192216,899,261153.375
1769778373.8591065,1039,252393.859375
1769778378.480381,1079,252862.40625
1769778402.8999462,1289,251254.125
1769778444.7855897,1649,221073.140625
1769778453.9693148,1729,229929.71875
1769778492.735061,1919,228586.875
1769778506.6497154,2039,241652.96875
1769778554.2458427,2449,201782.34375
1769778571.63383,2599,208278.9375
1769778598.3188279,2829,224013.15625
1769778601.805644,2859,213124.53125
1769778641.9237232,3199,198942.890625
1769778714.585054,3669,204698.375
1769778738.1586096,3869,209212.796875
1769778756.6600094,4029,206045.09375
1769778771.756995,4159,191674.25
1769778797.3087132,4379,197670.9375
1769778829.8267627,4659,194076.828125
1769778841.4470785,4759,199916.359375
1769778848.4181716,4819,182807.125
1769778883.4325583,5109,199180.75
1769778910.1607125,5339,208793.28125
1769778933.1869204,5389,210453.546875
1769778935.5006387,5409,197802.375
1769778954.0326862,5569,204715.0625
1769778960.9785597,5629,182906.875
1769779000.3725834,5969,191050.09375
1769779047.7876835,6379,185022.53125
1769779054.7115712,6439,186670.75
1769779055.8774261,6449,202443.6875
1769779072.0693848,6589,186430.15625
1769779094.0131648,6759,198525.296875
1769779167.042849,7219,188777.1875
1769779216.7601874,7649,190698.21875
1769779229.4971642,7759,191116.75
1769779263.1715198,8049,192384.484375
1769779325.7907155,8579,199912.5625
1769779336.2384665,8669,196879.1875
1769779359.4363363,8869,196721.546875
1769779443.895041,9429,197509.0
1769779512.3280854,9999,185843.375
1769779530.8461056,10159,188568.03125
1769779543.6059558,10269,183495.96875
1769779556.4127812,10379,204784.109375
1769779578.5261035,10569,181134.125
1769779612.4384866,10719,190595.734375
1769779656.5588875,11099,187721.96875
1769779658.8732064,11119,189538.0
1769779675.076427,11259,183264.421875
1769779683.217047,11329,175885.90625
1769779706.3503072,11529,192541.109375
1769779720.1519103,11649,171538.078125
1769779731.766017,11749,185719.8125
1769779734.0983076,11769,181625.75
1769779743.3820922,11849,195405.4375
1769779783.3915617,12189,189238.390625
1769779839.7072346,12529,191150.96875
1769779842.0166183,12549,192529.90625
1769779845.498254,12579,181647.1875
1769779857.0977283,12679,202383.15625
1769779861.7427857,12719,183235.828125
1769779924.0717957,13259,198027.65625
1769779947.2908392,13459,188040.1875
1769779984.2476168,13769,181919.375
1769780032.2505836,14179,193769.75
1769780095.9519594,14579,188157.75
1769780097.1116357,14589,194187.015625
1769780138.8501956,14949,185344.1875
1769780157.3357093,15109,177532.96875
1769780160.7994986,15139,181050.609375
1769780201.4053593,15489,192579.78125
1769780204.8823843,15519,186152.453125
1769780221.1369646,15659,182490.78125
1769780244.3594284,15859,181502.0
1769780257.1325486,15969,190803.6875
1769780312.6975155,16279,180513.078125
1769780321.954871,16359,185203.53125
1769780362.875708,16709,185061.375
1769780380.2673593,16859,175874.328125
1769780400.0265467,17029,172308.71875
1769780402.3520477,17049,187023.3125
1769780410.7159762,17119,170524.34375
1769780492.1538396,17779,189953.203125
1769780594.44121,18479,181931.515625
1769780609.492474,18609,174407.03125
1769780617.5961456,18679,181494.4375
1769780655.374486,18999,183218.46875
1769780658.904836,19029,191257.28125
1769780667.0976,19099,170878.9375
1769780704.0940037,19409,176203.65625
1769780727.86032,19609,171338.125
1769780746.609922,19619,173502.9375
1769780767.5614948,19799,169500.03125
1769780876.337702,20709,186386.46875
1769780887.4430687,20799,174964.90625
1769780899.4939253,20899,175985.6875
1769780912.3153553,21009,173696.6875
1769781058.6077232,22099,171153.375
1769781093.3698487,22399,166241.453125
1769781210.1484048,23199,165837.71875
1769781257.581803,23599,176120.1875
1769781298.5333006,23949,179761.8125
1769781350.4537377,24369,165793.578125
1769781356.520906,24419,183752.28125
1769781372.6222966,24549,173681.0625
1769781382.2413414,24629,177669.296875
1769781385.8493617,24659,165853.96875
1769781409.6012664,24859,162676.625
1769781449.8864634,25039,164004.890625
1769781467.3175566,25179,193173.15625
1769781482.9128165,25309,175029.4375
1769781537.7302082,25779,154949.296875
1769781538.8971121,25789,173282.8125
1769781563.3726628,25999,179766.03125
1769781596.7364821,26279,174863.140625
1769781606.0100453,26359,174799.734375
1769781615.3019505,26439,177468.53125
1769781682.6026478,26849,176670.59375
1769781693.1960673,26939,164402.9375
1769781710.577179,27089,178216.140625
1769781720.9875126,27179,173016.0
1769781741.1966114,27349,178130.46875
1769781748.2431364,27409,171806.78125
1769781763.687136,27539,183337.0
1769781764.8643372,27549,174454.25
1769781766.0249255,27559,182222.8125
1769781781.3592765,27689,170828.828125
1769781802.262211,27859,176354.6875
1769781834.3293777,28129,183110.59375
1769781860.5801458,28349,181405.921875
1769781872.2264485,28449,168758.53125
1769781910.4955454,28619,172290.046875
1769781983.742321,29219,177128.890625
1769782024.1798272,29529,184574.71875
1769782037.532875,29629,178205.1875
1769782050.907554,29739,187171.75
1769782144.0148997,30349,178714.875
1769782203.5986059,30839,175436.9375
1769782204.7584305,30849,176897.6875
1769782229.088113,31049,177806.09375
1769782230.3682554,31059,168435.4375
1769782247.7558105,31209,172104.4375
1769782278.6354048,31459,162357.875
1769782311.711809,31739,173479.984375
1769782334.2874775,31929,172921.65625
1769782342.471313,31999,169251.65625
1769782382.3400023,32179,174249.59375
1769782385.8811398,32209,171282.921875
1769782410.735113,32419,175043.71875
1769782440.0299432,32659,185005.65625
1769782443.5026608,32689,173459.84375
1769782488.0247643,33069,164727.0625
1769782547.5334787,33569,182560.28125
1769782622.0178232,34049,164323.6875
1769782689.1870012,34619,175017.34375
1769782715.6020143,34839,167116.59375
1769782716.897243,34849,176113.015625
1769782725.774645,34919,182481.71875
1769782736.9281943,35009,170450.71875
1769782769.463446,35269,167110.9375
1769782833.2071855,35669,183874.234375
1769782836.695179,35699,178768.34375
1769782873.2768655,36009,173926.109375
1769782891.8499246,36169,163791.8125
1769782936.2752297,36549,177609.5
1769782939.8370457,36579,162130.484375
1769782944.8360717,36619,171731.9375
1769782953.496566,36689,169473.171875
1769782957.0088801,36719,171823.03125
1769782981.1409757,36909,168302.5625
1769783006.7228124,37129,182489.8125
1769783084.361967,37619,180481.71875
1769783108.7378812,37829,166036.71875
1769783185.934161,38489,169326.265625
1769783188.2544181,38509,171704.375
1769783210.2466583,38699,164933.75
1769783248.5172048,39029,176534.96875
1769783258.9975379,39119,179706.765625
1769783263.6426857,39159,170016.453125
1769783270.6021008,39219,170587.15625
1769783301.8030775,39339,185869.84375
1769783305.2805617,39369,172875.90625
1769783350.4698436,39759,167149.59375
1769783393.5632877,40129,180167.984375
1769783395.9965248,40149,166639.90625
1769783406.5075965,40239,180673.9375
1769783419.2750392,40349,180735.40625
1769783426.2464614,40409,163437.9375
1769783434.3527277,40479,167667.09375
1769783477.3114514,40849,159734.546875
1769783524.3645601,41099,176625.71875
1769783531.3077846,41159,171210.25
1769783538.2578366,41219,182887.734375
1769783541.7595243,41249,169707.53125
1769783567.152833,41469,163255.0625
1769783608.0030453,41819,174784.671875
1769783620.7609377,41929,180709.71875
1769783661.3465226,42279,173351.203125
1769783695.9851127,42579,160762.125
1769783782.9485562,43189,171893.484375
1769783794.5795546,43289,175717.0
1769783927.8592134,44439,174096.453125
1769783940.5973303,44549,180668.59375
1769784039.9097764,45259,167186.0625
1769784051.512086,45359,176140.96875
1769784056.1486344,45399,165046.78125
1769784085.1513238,45649,175769.5
1769784140.6682997,46129,159678.9375
1769784202.3282642,46499,159410.796875
1769784245.328687,46869,167456.171875
1769784249.962303,46909,173523.671875
1769784252.3019524,46929,176361.25
1769784259.6164846,46989,178111.515625
1769784270.014039,47079,172175.71875
1769784296.6450875,47309,164066.5625
1769784351.1886992,47779,177003.03125
1769784429.5971422,48309,169570.1875
1769784431.9208703,48329,164895.96875
1769784435.4128506,48359,172858.5
1769784436.575791,48369,165590.375
1769784445.8954995,48449,163711.09375
1769784490.0331855,48829,179040.875
1769784523.010013,49109,168519.90625
1769784544.9159057,49299,165517.28125
1769784557.6741421,49409,170137.953125
1769784568.1549363,49499,163095.84375
1769784603.96624,49809,167892.53125
1769784616.7649593,49919,167746.09375
1769784698.9447293,50479,160609.703125
1769784720.9927533,50669,175881.3125
1769784736.1006882,50799,164365.875
1769784746.5060267,50889,161559.078125
1769784748.817154,50909,161263.734375
1769784797.242084,51329,162860.5
1769784801.9047172,51369,162660.796875
1769784819.3313925,51519,178153.109375
1769784822.8067172,51549,162388.890625
1769784824.0066245,51559,167489.90625
1769784879.7651467,51879,159723.1875
1769784894.8742971,52009,166744.0
1769784923.7643328,52259,167604.78125
1769784938.7720501,52389,184771.09375
1769784956.1902869,52539,168328.96875
1769784966.65409,52629,160588.1875
1769784970.1313272,52659,172356.859375
1769785004.9153564,52959,170436.53125
1769785032.529151,53199,178053.609375
1769785035.9822001,53229,165143.8125
1769785100.585235,53629,170361.890625
1769785109.8643167,53709,160836.140625
1769785148.0360594,54039,176331.015625
1769785196.5256455,54459,155316.671875
1769785206.9410148,54549,168646.859375
1769785212.7567618,54599,169189.59375
1769785270.7875838,55099,162459.625
1769785284.7272766,55219,163135.875
1769785471.6851091,56679,171007.5625
1769785557.788402,57309,163394.15625
1769785590.2575004,57589,164109.4375
1769785616.9421504,57819,173415.875
1769785675.9390736,58329,165931.15625
1769785715.8169794,58669,170595.4375
1769785731.0500991,58799,160978.75
1769785826.5080922,59489,156307.375
1769785835.9253333,59569,167671.171875
1769785864.8733418,59819,169314.921875
1769785883.4862587,59979,171521.9375
1769785897.4250813,60099,161940.5625
1769785948.6865652,60539,163063.5625
1769786028.0119727,61119,161800.421875
1769786030.319493,61139,178148.109375
1769786053.8387177,61339,162148.875
1769786059.7369568,61389,165051.375
1769786062.2267082,61409,165228.46875
1769786064.6071236,61429,159420.765625
1769786162.6522539,62259,157524.15625
1769786195.307034,62439,166660.875
1769786237.5334265,62799,167802.984375
1769786261.9059074,63009,168052.71875
1769786299.100494,63329,165059.1875
1769786301.4255114,63349,159598.09375
1769786329.4541938,63589,168376.75
1769786330.6173558,63599,171061.65625
1769786336.4226816,63649,161744.46875
1769786342.2118688,63699,163523.796875
1769786478.3751004,64739,165787.484375
1769786542.9868598,65289,165549.9375
1769786546.4483428,65319,154555.59375
1769786563.9812799,65469,160578.8125
1769786569.964391,65519,167143.109375
1769786585.238732,65649,167425.5625
1769786591.047678,65699,172157.96875
1769786609.6315544,65859,183036.359375
1769786615.4134283,65909,161334.71875
1769786641.5689604,65999,166194.90625
1769786660.5888917,66159,160791.21875
1769786728.2964067,66739,164070.796875
1769786783.3366902,67209,163163.828125
1769786795.8119385,67309,172760.59375
1769786819.740254,67509,162149.21875
1769786892.2769628,68029,162128.09375
1769786938.7387743,68429,155509.53125
1769786948.2151153,68509,153564.515625
1769786958.646268,68599,159621.6875
1769786977.2236452,68759,162183.515625
1769787025.5280674,69169,163374.5
1769787028.9945264,69199,156157.125
1769787041.9157803,69309,160596.34375
1769787107.9413083,69759,158795.890625
1769787126.5132725,69919,162856.84375
1769787132.307806,69969,166146.46875
1769787134.6213803,69989,148729.5625
1769787200.623275,70549,167500.8125
1769787275.6212757,71179,170329.40625
1769787279.1001413,71209,164565.6875
1769787286.187784,71269,160912.6875
1769787348.9884388,71649,161032.046875
1769787366.1186645,71789,164873.765625
1769787401.051352,72079,164332.15625
1769787457.949766,72539,161871.28125
1769787484.9109797,72749,164181.09375
1769787524.841759,73089,159102.96875
1769787575.3959303,73389,167121.5625
1769787593.4985955,73539,153093.21875
1769787609.8551326,73679,168256.09375
1769787680.488054,74249,162895.5
1769787694.733119,74359,155579.28125
1769787695.9520538,74369,170902.0
1769787730.1904023,74649,153237.390625
1769787734.8686152,74689,163120.265625
1769787737.3097649,74709,163477.765625
1769787753.0678418,74829,173048.78125
1769787796.9670675,75069,166877.1875
1769787812.8656323,75189,158135.125
1769787823.1608598,75269,153233.09375
1769787830.893949,75329,161022.703125
1769787844.646713,75439,172022.34375
1769787854.2316544,75519,156756.453125
1769787856.5444891,75539,164640.5625
1769787906.7260199,75939,161361.921875
1769787917.7780194,76029,152615.125
1769787920.5822546,76049,164372.03125
1769787924.597147,76079,167633.21875
1769787962.0093772,76389,167957.75
1769787968.9714055,76449,162161.875
1769787988.4218633,76609,162450.3125
1769788085.8458788,77279,166579.75
1769788089.3529508,77309,165114.25
1769788120.2053912,77569,162590.234375
1769788164.4127004,77949,156655.1875
1769788165.5771675,77959,157810.78125
1769788195.616991,78219,159258.484375
1769788215.387509,78389,168238.1875
1769788241.4381967,78509,167522.578125
1769788247.2558126,78559,170850.34375
1769788248.4204557,78569,172290.078125
1769788255.515504,78629,166151.71875
1769788295.210459,78959,164065.09375
1769788302.4927495,79019,166132.0
1769788336.2001736,79299,154353.578125
1769788406.6137257,79869,165708.890625
1769788497.3794293,80469,151903.796875
1769788536.1024396,80789,169565.15625
1769788587.2618482,81229,167916.625
1769788612.8776984,81449,165524.4375
1769788636.3621063,81639,172478.765625
1769788637.512268,81649,161003.9375
1769788670.4405594,81929,163193.5
1769788711.1861105,82169,153841.828125
1769788726.2403479,82299,152296.796875
1769788757.1202703,82559,167626.21875
1769788783.0862188,82779,154801.1875
1769788790.048646,82839,151756.890625
1769788799.3492684,82919,154239.640625
1769788805.1529827,82969,160299.609375
1769788870.1915607,83529,169292.90625
1769788882.969936,83639,154095.125
1769788899.236731,83779,165443.34375
1769788934.321498,83979,155400.53125
1769788950.5392554,84119,163927.109375
1769788956.4391525,84169,162141.4375
1769789044.191821,84919,165343.515625
1769789078.8220568,85219,161718.375
1769789110.3904033,85489,158675.40625
1769789117.6920867,85549,167565.984375
1769789140.9665542,85639,159044.96875
1769789204.786921,86189,154925.21875
1769789215.3226533,86279,161126.75
1769789252.5188532,86599,165248.90625
1769789257.1667614,86639,162638.75
1769789293.1741474,86949,164615.890625
1769789300.15268,87009,160738.53125
1769789321.1407495,87189,161424.1875
1769789328.5137506,87249,165183.09375
1769789373.3964696,87529,167726.375
1769789375.7127244,87549,173288.0625
1769789401.2920122,87769,162200.0625
1769789403.6132693,87789,170255.625
1769789455.8499331,88239,155175.875
1769789467.4550858,88339,155897.5625
1769789506.7226496,88659,156934.40625
1769789512.5091429,88709,161233.609375
1769789520.6323838,88779,157658.171875
1769789533.4113064,88889,156994.53125
1769789578.920309,89179,176572.421875
1769789583.5746083,89219,167811.34375
1769789657.7064815,89859,159534.4375
1769789681.961694,90069,162468.765625
1769789713.5558667,90339,157291.453125
1769789732.1196554,90499,164533.328125
1769789742.5832942,90589,158871.21875
1769789827.5892274,91179,153175.3125
1769789832.2799904,91219,158885.546875
1769789868.5775893,91529,164227.5
1769789940.0742576,92129,160100.34375
1769789956.261441,92269,160119.0625
1769789986.6419182,92529,167313.125
1769790046.1759036,92919,151931.671875
1769790060.5903616,93039,161534.34375
1769790063.014189,93059,168378.03125
1769790071.4659915,93129,166550.953125
1769790089.6053793,93279,169297.859375
1769790111.9824271,93459,159167.046875
1769790129.2832832,93599,159847.03125
1769790136.4764936,93659,163027.203125
1769790144.6695354,93729,152335.1875
1769790150.7706935,93779,165891.84375
1769790162.3405757,93879,158453.875
1769790256.3912437,94569,164455.03125
1769790295.1552076,94889,160361.28125
1769790355.8984346,95389,161923.6875
1769790366.5899239,95479,171693.359375
1769790377.07367,95569,156764.90625
1769790388.8733354,95669,170135.859375
1769790422.6388896,95939,160638.015625
1769790438.816354,96079,155917.125
1769790529.999563,96719,162123.625
1769790531.163915,96729,153472.484375
1769790554.7778022,96929,155327.078125
1769790569.5105536,97049,159782.0
1769790578.9088256,97129,145352.078125
1769790627.8843362,97539,163192.359375
1769790629.0388136,97549,167571.6875
1769790652.0393364,97729,161673.328125
1769790720.2719011,98139,163962.1875
1769790734.0791125,98249,162170.75
1769790750.076836,98379,162910.390625
1769790765.538282,98509,156127.40625
1769790786.5677133,98679,160055.703125
1769790820.5471032,98949,163201.40625
1769790832.2603214,99049,166483.375
1769790846.1728575,99169,163085.71875
1769790847.3398037,99179,171505.125
1769790883.9256084,99489,161593.203125
1769790885.0774322,99499,163599.71875
1769790886.277453,99509,164769.78125
1769790897.896869,99609,163848.5625
1769790912.9271345,99739,164657.25
1769790919.908171,99799,161133.1875
1769790943.3690543,99879,163683.78125
1769790950.3527505,99939,160278.25
1769791032.0793586,100639,158195.328125
1769791063.4039736,100909,165988.40625
1769791099.26212,101219,162693.0
1769791118.9387732,101389,156378.171875
1769791192.6584864,101919,168763.90625
1769791212.380255,102089,160555.28125
1769791220.49704,102159,164263.328125
1769791283.1191444,102699,153003.5
1769791295.8875911,102809,162846.71875
1769791379.5863276,103429,165725.0
1769791383.062841,103459,152361.5625
1769791384.2237754,103469,162942.0
1769791441.0567358,103959,161150.15625
1769791498.8323433,104459,160721.71875
1769791505.727205,104519,164662.671875
1769791506.881856,104529,168365.515625
1769791513.8388946,104589,164615.4375
1769791563.7073126,105019,158330.140625
1769791583.6356175,105189,151932.125
1769791645.4402711,105619,169208.890625
1769791659.358177,105739,169931.78125
1769791686.0420284,105969,158484.890625
1769791706.8927863,106149,162331.890625
1769791729.1831613,106339,160794.875
1769791740.7775292,106439,164689.59375
1769791743.094524,106459,148340.65625
1769791828.7057264,107079,156377.46875
1769791840.280479,107179,164072.4375
1769791848.3894074,107249,155145.0
1769791854.1727295,107299,163075.0625
1769791872.8522327,107459,163424.890625
1769791880.993701,107529,155667.40625
1769791903.21155,107719,164770.484375
1769791985.493906,108429,162288.96875
1769792061.445343,108979,151003.03125
1769792153.0744345,109769,163300.84375
1769792206.728762,110229,160507.875
1769792207.8854136,110239,169602.84375
1769792213.6649745,110289,155696.453125
1769792222.9271066,110369,155433.1875
1769792255.8738732,110549,158302.84375
1769792302.459815,110949,148414.46875
1769792330.132306,111189,164596.09375
1769792337.0267425,111249,159271.21875
1769792338.1765175,111259,169792.59375
1769792377.6320052,111599,156074.03125
1769792390.372229,111709,172450.859375
1769792436.7648456,112089,166986.4375
1769792441.9250114,112129,164643.65625
1769792449.406477,112189,157088.40625
1769792457.6119606,112259,163674.640625
1769792458.931465,112269,163473.234375
1769792602.8142953,113309,166564.96875
1769792604.163162,113319,152474.125
1769792685.98608,113949,164483.6875
1769792698.3653953,114049,155990.59375
1769792704.5378976,114099,164475.890625
1769792764.4647086,114439,153105.390625
1769792770.3769608,114489,158099.5625
1769792785.462432,114619,166598.484375
1769792787.786126,114639,160552.359375
1769792861.8498607,115269,158335.96875
1769792915.284893,115709,160936.03125
1769792925.290311,115789,161243.125
