Wall time,Step,Value
1769686934.494935,189,-52.058807373046875
1769686969.847853,479,-52.19278335571289
1769686988.1474874,629,-60.550811767578125
1769686989.3672988,639,-51.21137237548828
1769687021.1192772,899,-53.79409408569336
1769687038.2165112,1039,-53.40875244140625
1769687043.1099784,1079,-58.42311477661133
1769687068.7820225,1289,-57.839317321777344
1769687112.8072057,1649,-52.14707946777344
1769687122.6382062,1729,-54.589881896972656
1769687160.7570536,1919,-58.52531433105469
1769687175.5672324,2039,-58.97207260131836
1769687225.9557612,2449,-56.10340881347656
1769687244.2631178,2599,-58.603515625
1769687272.5126557,2829,-61.088497161865234
1769687276.1914847,2859,-61.64309310913086
1769687317.763232,3199,-61.206565856933594
1769687390.6794586,3669,-62.41682815551758
1769687415.1872737,3869,-60.08193588256836
1769687434.6608007,4029,-60.71381759643555
1769687450.5418003,4159,-60.71965026855469
1769687477.556633,4379,-62.800453186035156
1769687511.7177737,4659,-61.876434326171875
1769687524.01873,4759,-63.171939849853516
1769687531.4847596,4819,-57.913551330566406
1769687567.6642308,5109,-63.857627868652344
1769687596.0422344,5339,-59.5256233215332
1769687616.6751165,5389,-58.70439147949219
1769687619.0983064,5409,-63.033905029296875
1769687638.7889237,5569,-65.68543243408203
1769687646.1757147,5629,-55.142601013183594
1769687688.3414319,5969,-62.184043884277344
1769687738.823939,6379,-64.75863647460938
1769687746.236638,6439,-65.88691711425781
1769687747.468749,6449,-67.67513275146484
1769687764.6696513,6589,-63.91616439819336
1769687785.6832619,6759,-62.87428283691406
1769687857.8127005,7219,-64.53254699707031
1769687910.786346,7649,-68.0926742553711
1769687924.3444045,7759,-61.87001419067383
1769687960.2130616,8049,-60.285484313964844
1769688025.103916,8579,-60.4380989074707
1769688036.1689718,8669,-64.24288940429688
1769688060.7525988,8869,-69.12968444824219
1769688144.33121,9429,-64.32449340820312
1769688214.0341072,9999,-67.32622528076172
1769688233.755787,10159,-64.30221557617188
1769688247.4451222,10269,-67.3538818359375
1769688261.00501,10379,-62.80999755859375
1769688284.3991575,10569,-63.654441833496094
1769688320.1274624,10719,-68.37952423095703
1769688367.0156288,11099,-72.9212646484375
1769688369.462092,11119,-70.37735748291016
1769688386.8607802,11259,-71.27301788330078
1769688395.4567797,11329,-62.049781799316406
1769688418.7438624,11519,-67.84786987304688
1769688419.9666972,11529,-63.49666213989258
1769688434.6369526,11649,-69.08989715576172
1769688446.873021,11749,-64.73667907714844
1769688449.3349745,11769,-66.98394012451172
1769688459.1975107,11849,-69.82156372070312
