Wall time,Step,Value
1773337838.303967,49,-0.5438016057014465
1773338150.1262538,189,-8.428499221801758
1773338328.0449,269,-9.198150634765625
1773338351.0276363,279,-8.317169189453125
1773338645.246349,409,-10.36465835571289
1773338803.428189,479,-7.6910529136657715
1773338826.4803176,489,-5.900710582733154
1773339139.667197,629,-11.844439506530762
1773339162.2801154,639,-10.529340744018555
1773339252.1708534,679,-10.912839889526367
1773339341.1453464,719,-10.328819274902344
1773339475.509433,779,-10.584543228149414
1773339584.202901,829,-10.977262496948242
1773339743.660144,899,-10.864570617675781
1773339967.4975007,999,-9.699617385864258
1773340055.4493601,1039,-9.981180191040039
1773340143.3697996,1079,-11.723478317260742
1773341010.2607648,1219,-9.34173583984375
1773341097.4066098,1259,-6.707197189331055
1773341118.2255695,1269,-9.973997116088867
1773341167.0447311,1289,-10.017202377319336
1773341214.9178197,1309,-10.907350540161133
1773341560.9693503,1449,-12.702046394348145
1773341634.0694294,1479,-14.211895942687988
1773341892.9124508,1579,-11.203295707702637
1773341966.4281542,1609,-6.755565166473389
1773342020.6854997,1629,-12.664073944091797
1773342071.9516096,1649,-8.443260192871094
1773342273.6250694,1729,-10.003724098205566
1773342406.0898347,1779,-9.281085968017578
1773342767.0157526,1919,-11.463115692138672
1773343074.1552207,2039,-9.118042945861816
1773343124.7201464,2059,-11.200199127197266
1773343337.9542296,2139,-10.123079299926758
1773343755.1618903,2299,-14.604755401611328
1773344819.4497933,2449,-10.618240356445312
1773344845.7309196,2459,-11.076536178588867
1773345180.710026,2589,-12.15386962890625
1773345207.1941185,2599,-10.795621871948242
1773345520.0066032,2719,-8.964133262634277
1773345598.0658267,2749,-16.466161727905273
1773345806.236209,2829,-9.03714370727539
1773345881.1957798,2859,-10.322932243347168
1773346009.449572,2909,-7.504122734069824
1773346134.566147,2959,-12.22733211517334
1773346465.0232327,3089,-12.54478645324707
1773346679.1270597,3169,-8.021293640136719
1773346731.7027428,3189,-10.24254035949707
1773346757.4985561,3199,-10.262925148010254
1773346835.3861144,3229,-11.342185974121094
1773347428.673321,3459,-10.627187728881836
1773347454.22417,3469,-8.403032302856445
1773348390.2785578,3589,-11.105439186096191
1773348540.8282585,3649,-7.446351528167725
1773348567.5074887,3659,-7.586211204528809
1773348591.7811568,3669,-18.57573890686035
1773348910.0579147,3789,-10.758682250976562
1773349116.075129,3869,-10.733894348144531
1773349217.8818247,3909,-10.698932647705078
1773349267.9641914,3929,-9.050479888916016
1773349523.6529126,4029,-14.848978042602539
1773349576.5793774,4049,-10.943580627441406
1773349856.5093725,4159,-10.309072494506836
1773350035.040246,4229,-10.779101371765137
1773350397.8306751,4369,-16.03334617614746
1773350422.3612735,4379,-12.03896713256836
1773350474.8195965,4399,-12.24864387512207
1773350651.8413181,4469,-11.16718864440918
1773351047.9572394,4619,-9.686342239379883
1773351164.856099,4659,-11.546042442321777
1773351303.9858663,4709,-10.93609619140625
1773351421.1527388,4749,-9.947665214538574
1773351447.249115,4759,-9.632140159606934
1773352205.1595676,4809,-11.332794189453125
1773352231.5842519,4819,-11.16666030883789
1773352389.0764341,4879,-10.069891929626465
1773352973.141063,5109,-10.315693855285645
1773353026.6360054,5129,-11.4993896484375
1773353052.8996344,5139,-8.191287994384766
1773353077.7739577,5149,-11.355721473693848
